French,English
histoire,history
chercher,search
seulement,only
police,police
demande,request
mois,month
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
écoute,listen
dont,whose
trouve,find
main,hand
côté,side
pouvoir,power
vieux,old
tiens,here
matin,morning
tellement,so much
enfant,child
venu,came
suite,after
venez,come
devant,in front of
vers,towards
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
parti,left
nouvelle,new
boulot,job
dirait,would say
terre,Earth
donne,given
loin,far
croire,believe
chérie,sweetheart
gros,large
aura,will have
filles,girls
jouer,to play
bureau,office
